origin_date,location,regime
2016-12-17,HHS Region 5,growing
2016-12-17,HHS Region 6,growing
2016-12-17,HHS Region 7,declining
2016-12-17,HHS Region 8,growing
2016-12-17,HHS Region 9,growing
2016-12-17,US National,growing
2016-12-24,HHS Region 1,growing
2016-12-24,HHS Region 10,growing
2016-12-24,HHS Region 2,peaking
2016-12-24,HHS Region 3,growing
2016-12-24,HHS Region 4,growing
2016-12-24,HHS Region 5,growing
2016-12-24,HHS Region 6,growing
2016-12-24,HHS Region 7,growing
2016-12-24,HHS Region 8,growing
2016-12-24,HHS Region 9,growing
2016-12-24,US National,growing
2016-12-31,HHS Region 1,growing
2016-12-31,HHS Region 10,growing
2016-12-31,HHS Region 2,growing
2016-12-31,HHS Region 3,growing
2016-12-31,HHS Region 4,growing
2016-12-31,HHS Region 5,growing
2016-12-31,HHS Region 6,growing
2016-12-31,HHS Region 7,growing
2016-12-31,HHS Region 8,growing
2016-12-31,HHS Region 9,growing
2016-12-31,US National,growing
2017-01-07,HHS Region 1,growing
2017-01-07,HHS Region 10,growing
2017-01-07,HHS Region 2,peaking
2017-01-07,HHS Region 3,peaking
2017-01-07,HHS Region 4,declining
2017-01-07,HHS Region 5,peaking
2017-01-07,HHS Region 6,declining
2017-01-07,HHS Region 7,growing
2017-01-07,HHS Region 8,peaking
2017-01-07,HHS Region 9,peaking
2017-01-07,US National,peaking
2017-01-14,HHS Region 1,declining
2017-01-14,HHS Region 10,growing
2017-01-14,HHS Region 2,peaking
2017-01-14,HHS Region 3,declining
2017-01-14,HHS Region 4,declining
2017-01-14,HHS Region 5,declining
2017-01-14,HHS Region 6,declining
2017-01-14,HHS Region 7,declining
2017-01-14,HHS Region 8,declining
2017-01-14,HHS Region 9,declining
2017-01-14,US National,declining
2017-01-21,HHS Region 1,growing
2017-01-21,HHS Region 10,growing
2017-01-21,HHS Region 2,peaking
2017-01-21,HHS Region 3,growing
2017-01-21,HHS Region 4,peaking
2017-01-21,HHS Region 5,growing
2017-01-21,HHS Region 6,growing
2017-01-21,HHS Region 7,growing
